Filename,Average matched points,Average distance,Average process time (μs),Size
IMAGE 2020-10-05 18:42:38.jpg,0.234043,0.164129,1122429,1280x960
IMAGE 2020-10-05 18:52:15.jpg,0.450000,0.161003,931091,1280x960
IMAGE 2020-10-05 18:52:17.jpg,0.000000,0.146161,1051973,1280x960
IMAGE 2020-10-04 21:57:55.jpg,0.000000,0.165326,393104,1280x960
IMAGE 2020-10-05 18:40:03.jpg,0.772727,0.147140,689794,960x1280
IMAGE 2020-10-04 20:16:42.jpg,0.834286,0.160201,519853,1280x960
IMAGE 2020-10-04 20:24:27.jpg,0.000000,0.187516,314525,1280x1108
IMAGE 2020-10-04 20:24:33.jpg,0.672269,0.168136,440046,1280x960
IMAGE 2020-10-05 18:50:06.jpg,0.000000,0.179988,996329,1280x960
IMAGE 2020-10-05 18:50:13.jpg,0.000000,0.158646,1141529,1280x960
IMAGE 2020-10-05 18:40:16.jpg,0.993007,0.166101,658710,1280x960
IMAGE 2020-10-05 18:42:13.jpg,0.554348,0.163582,906584,1280x960
IMAGE 2020-10-05 19:05:59.jpg,0.000000,0.171301,345927,1280x960
IMAGE 2020-10-04 22:11:52.jpg,0.000000,0.140400,363585,1280x960
IMAGE 2020-10-05 19:06:53.jpg,0.000000,0.164536,1131441,960x1280
IMAGE 2020-10-04 22:12:03.jpg,0.560345,0.184334,385594,1280x960
IMAGE 2020-10-04 21:57:27.jpg,0.000000,0.192739,297722,1280x960
IMAGE 2020-10-05 18:44:15.jpg,0.740964,0.157825,530953,1280x960
IMAGE 2020-10-05 18:43:20.jpg,0.000000,0.179587,810377,1280x960
IMAGE 2020-10-04 21:57:26.jpg,0.653226,0.152279,343487,1280x960
IMAGE 2020-10-04 21:57:32.jpg,0.572464,0.167566,303855,1280x960
IMAGE 2020-10-04 22:12:16.jpg,0.290698,0.196736,454528,960x1280
IMAGE 2020-10-04 22:12:02.jpg,0.000000,0.198106,333361,1280x960
IMAGE 2020-10-04 20:35:39.jpg,0.066667,0.173255,467742,1280x871
IMAGE 2020-10-05 19:06:46.jpg,0.363636,0.176769,471898,960x1280
IMAGE 2020-10-05 18:52:58.jpg,0.740741,0.164610,699619,1280x960
IMAGE 2020-10-04 22:11:53.jpg,0.009569,0.158961,412051,1280x960
IMAGE 2020-10-04 22:12:00.jpg,0.000000,0.191240,311446,1280x960
IMAGE 2020-10-04 21:57:30.jpg,0.000000,0.195145,263188,1280x960
IMAGE 2020-10-05 18:44:16.jpg,0.000000,0.164469,495879,1280x960
IMAGE 2020-10-05 18:43:22.jpg,0.619718,0.166587,1309301,960x1280
IMAGE 2020-10-04 21:05:11.jpg,0.090909,0.174498,556285,1280x960
IMAGE 2020-10-04 22:12:29.jpg,0.000000,0.143552,331918,960x1280
IMAGE 2020-10-05 19:06:51.jpg,0.116667,0.151890,1200320,960x1280
IMAGE 2020-10-04 21:57:35.jpg,0.000000,0.149594,732755,1280x960
IMAGE 2020-10-05 19:07:01.jpg,0.000000,0.178338,449281,960x1280
IMAGE 2020-10-05 18:44:13.jpg,0.571429,0.165214,1257443,1280x960
IMAGE 2020-10-05 18:43:27.jpg,0.889831,0.147142,1593047,960x1280
imagfdfhfh.jpg,0.979430,0.132551,551183,1280x960
IMAGE 2020-10-04 21:05:28.jpg,0.811688,0.166736,469080,1280x960
IMAGE 2020-10-04 22:12:38.jpg,0.060976,0.186485,423998,1280x960
IMAGE 2020-10-04 21:57:34.jpg,0.651163,0.173587,309877,1280x960
IMAGE 2020-10-05 19:06:54.jpg,0.655914,0.161801,1017858,960x1280
IMAGE 2020-10-04 22:12:06.jpg,0.000000,0.173156,301583,1280x960
IMAGE 2020-10-04 22:12:12.jpg,0.000000,0.154594,510463,960x1280
Image.jpg,0.917241,0.150227,599972,1280x960
IMAGE 2020-10-05 18:37:15.jpg,0.591241,0.153811,486558,1280x960
IMAGE 2020-10-05 18:43:18.jpg,0.507692,0.190767,950087,1280x960
IMAGE 2020-10-05 18:44:11.jpg,0.000000,0.160894,1246967,1280x960
IMAGE 2020-10-05 18:43:24.jpg,0.816000,0.154319,1013767,960x1280
IMAGE 2020-10-05 18:37:14.jpg,0.412214,0.140489,573808,1280x960
IMAGE 2020-10-04 22:12:13.jpg,0.086022,0.173135,449143,960x1280
IMAGE 2020-10-04 21:57:37.jpg,0.486111,0.166316,464128,1280x960
IMAGE 2020-10-05 19:06:57.jpg,0.315789,0.157371,1012944,960x1280
IMAGE 2020-10-04 22:11:56.jpg,0.000000,0.197889,281724,1280x960
